Team 1,Team 2,Wins1,Wins2,Team1Win %,Team2Win %,Games
Dunstone,Whyte,7,3,0.7,0.3,10
Edin,Epping,1,0,1,0,1
Edin,Gushue,12,10,0.545454545,0.454545455,22
Edin,Howard,1,0,1,0,1
Edin,Jacobs,2,4,0.333333333,0.666666667,6
Edin,Kim,4,0,1,0,4
Edin,Koe,6,3,0.666666667,0.333333333,9
Edin,McEwen,1,1,0.5,0.5,2
Edin,Mouat,10,13,0.434782609,0.565217391,23
Edin,Retornaz,10,7,0.588235294,0.411764706,17
Edin,Schwaller,4,4,0.5,0.5,8
Edin,Shuster,7,2,0.777777778,0.222222222,9
Edin,Smith,1,0,1,0,1
Edin,Stjerne,1,0,1,0,1
Edin,Totzek,2,0,1,0,2
Edin,Ulsrud,0,1,0,1,1
Edin,Whyte,4,3,0.571428571,0.428571429,7
Einarson,Fujisawa,12,6,0.666666667,0.333333333,18
Einarson,Galusha,2,0,1,0,2
Einarson,Gim,5,5,0.5,0.5,10
Einarson,Grandy,3,1,0.75,0.25,4
Einarson,Hasselborg,7,2,0.777777778,0.222222222,9
Einarson,Homan,14,13,0.518518519,0.481481481,27
Einarson,Jentsch,1,1,0.5,0.5,2
Einarson,Jones,10,9,0.526315789,0.473684211,19
Einarson,Kim,4,3,0.571428571,0.428571429,7
Einarson,Lawes,6,3,0.666666667,0.333333333,9
Einarson,Morrison,2,0,1,0,2
Einarson,Robertson,3,0,1,0,3
Einarson,Schwaller,1,1,0.5,0.5,2
Einarson,Skrlik,3,0,1,0,3
Einarson,Smith,1,0,1,0,1
Einarson,Stjerne,1,0,1,0,1
Einarson,Sturmay,2,1,0.666666667,0.333333333,3
Einarson,Tirinzoni,0,8,0,1,8
Einarson,Wrana,4,4,0.5,0.5,8
Epping,Gushue,7,9,0.4375,0.5625,16
Epping,Howard,2,1,0.666666667,0.333333333,3
Epping,Jacobs,5,10,0.333333333,0.666666667,15
Epping,Koe,7,10,0.411764706,0.588235294,17
Epping,Laycock,3,1,0.75,0.25,4
Epping,McEwen,3,10,0.230769231,0.769230769,13
Epping,Morrison,0,1,0,1,1
Epping,Mouat,0,2,0,1,2
Epping,Retornaz,2,0,1,0,2
Epping,Schwaller,1,2,0.333333333,0.666666667,3
Epping,Sturmay,1,0,1,0,1
Epping,Whyte,1,1,0.5,0.5,2
Feltscher,Fujisawa,3,0,1,0,3
Feltscher,Kim,1,0,1,0,1
Feltscher,Muirhead,1,0,1,0,1
Feltscher,Sidorova,0,1,0,1,1
Ferbey,Gushue,3,0,1,0,3
Ferbey,Howard,2,1,0.666666667,0.333333333,3
Ferbey,Morrison,3,0,1,0,3
Finland,Gushue,0,1,0,1,1
Fujisawa,Gim,7,5,0.583333333,0.416666667,12
Fujisawa,Grandy,0,1,0,1,1
Fujisawa,Hasselborg,2,7,0.222222222,0.777777778,9
Fujisawa,Homan,2,5,0.285714286,0.714285714,7
Fujisawa,Jentsch,1,0,1,0,1
Fujisawa,Jones,5,1,0.833333333,0.166666667,6
Fujisawa,Kim,1,2,0.333333333,0.666666667,3
Fujisawa,Lawes,5,2,0.714285714,0.285714286,7
Fujisawa,Morrison,1,1,0.5,0.5,2
Fujisawa,Muirhead,3,2,0.6,0.4,5
Fujisawa,Schwaller,2,0,1,0,2
Fujisawa,Sidorova,2,0,1,0,2
Fujisawa,Skrlik,1,0,1,0,1
Fujisawa,Stjerne,1,0,1,0,1
Fujisawa,Sturmay,1,0,1,0,1
Fujisawa,Tirinzoni,3,8,0.272727273,0.727272727,11
Fujisawa,Wrana,2,4,0.333333333,0.666666667,6
Galusha,Grandy,0,1,0,1,1
Galusha,Holland,1,1,0.5,0.5,2
Galusha,Homan,2,5,0.285714286,0.714285714,7
Galusha,Jones,1,6,0.142857143,0.857142857,7
Galusha,Kleibrink,1,1,0.5,0.5,2
Galusha,Mallett,1,0,1,0,1
Galusha,Moore,0,1,0,1,1
Galusha,Nedohin,2,0,1,0,2
Galusha,Scott,0,3,0,1,3
Galusha,Smith,0,1,0,1,1
Gauthier,Gushue,0,1,0,1,1
Gauthier,Jones,1,0,1,0,1
Gauthier,McEwen,0,2,0,1,2
Gauthier,Smith,1,0,1,0,1
Gauthier,Sturmay,1,0,1,0,1
Gauthier,Totzek,2,0,1,0,2
Gim,Grandy,2,0,1,0,2
Gim,Hasselborg,6,8,0.428571429,0.571428571,14
Gim,Homan,3,9,0.25,0.75,12
Gim,Jones,2,0,1,0,2
Gim,Kim,0,2,0,1,2
